ID,年,日付,日程,講座名,場所,時間
1,2017,11、13、14、15、18、21、22、25,4月11日・13～15日・18日・21日・22日・25日,インターンシップ＆就職ミニガイダンス,メディア視聴覚室ほか,16:20ほか
2,2017,16、17、18、19、20,5月16日～20日,今から始める就職相談会,キャリアセンター,終日
3,2017,21,5月21日,瑞若会企業展,AITプラザ,午前・午後
4,2017,7、8,6月7日・8日,J-NET求人ナビ登録会＆SPI受験会,11号館1階ほか,1限ほか
5,2017,10,6月10日,J-NET求人ナビ登録会＆SPI受験会,計算センター実習室1、2,4・5限
6,2017,13,6月13日,J-NET求人ナビ登録会＆SPI受験会,計算センター、情報教育センター,5限
7,2017,20、21,6月20・21日,就職ガイダンス①,G2210,4・5限
8,2017,24,6月24日,進路ガイダンス,メディア視聴覚室,4・5限
9,2017,30,6月30日,就職力向上講座 ①自己PR作成「できること発見」,1号館2Fラウンジ,3・4限
10,2017,1、4,7月1・4日,就職力向上講座 ①自己PR作成「できること発見」,1号館2Fラウンジ,3・4限
11,2017,8,7月8日,J-NET求人ナビ登録会＆SPI受験会,計算センター実習室2,1限
12,2017,11、12、13、14、15,7月11日～15日,マッチング相談会,キャリアセンター,終日
13,2017,11、14、19,7月11日・14日・19日,就職力向上講座 ②志望動機作成「やりたいこと発見」,1号館2Fラウンジ,3・4限
14,2017,16,7月16日,マッチング企業展,1号館ラウンジ,午前・午後
15,2017,3、4,8月3日・4日,インターンシップマナー講座,メディア視聴覚室,5限
16,2017,6,8月6日,インターンシップマナー講座,メディア視聴覚室,2限
17,2017,17、18、20、21,10月17日・18日・20日・21日,就職力向上講座 「前期フォローアップ」(自己PR/志望動機),1号館2Fラウンジ,3・4限
18,2017,15,11月15日,就職ガイダンス②,G2210,2・3・4限
19,2017,16,11月16日,就職ガイダンス②,G2210,5限
20,2017,29、30,11月29日・30日,就職力向上講座 ④「業界・仕事研究セミナー」,メディア視聴覚室,3・4限
21,2017,1,12月1日,就職力向上講座 ④「業界・仕事研究セミナー」,メディア視聴覚室,3・4限
22,2017,12、13、15,12月12日・13日・15日,筆記試験対策講座&自己採点試験,メディア視聴覚室,3・4限
23,2017,19、20,12月19日・20日,就職力向上講座 ④「履歴書作成」,メディア視聴覚室,3・4限
24,2018,17,1月17日,メイクUP講座 ※女子学生向け,AITプラザ3階,3・4限
25,2018,21,1月21日,業種別研究会＋履歴書写真,AITプラザ1階,午前・午後
26,2018,9、10,2月9日・10日,就職ガイダンス③,メディア視聴覚室,3・4限
27,2018,13、14、16、17,2月13日・14日・16日・17日,面接基礎&エントリーシート対策講座,メディア視聴覚室,3・4限
28,2018,21、22,2月21日・22日,SPI模擬受検,メディア視聴覚室,3・4限
29,2018,23、24,2月23日・24日,第一印象向上&グループディスカッション実践演習講座,AITプラザ3階,3・4限
30,2018,1、2、4,3月1日・2日・4日,学内企業展(愛名会会員企業),鉀徳館,午前・午後
31,2018,9、10,3月9日・10日,学内企業展(一般企業 兼 岐阜・長野企業展),AITプラザ1階,午前・午後
32,2018,14、17,3月14日・17日,地元企業交流会(静岡・三重),浜松(14日)、四日市(17日)
33,2018,21、22、23、24,3月21日～24日,面接実践演習,キャリアセンター

